#source: https://www.kaggle.com/nathanlauga/nba-games
SEASON|DATE|TEAM_home|TEAM_away|PTS_home|PTS_away|REB_home|REB_away|AST_home|AST_away|FG3_PCT_home|FG3_PCT_away
2019|2020-08-03|Oklahoma City Thunder|Denver Nuggets|113|121|42|46|20|23|41.7|28.0
2019|2020-08-03|Washington Wizards|Indiana Pacers|100|111|45|45|30|20|36.7|26.9
2019|2020-08-03|New Orleans Pelicans|Memphis Grizzlies|109|99|49|43|25|25|37.9|27.9
2019|2020-08-03|Philadelphia 76ers|San Antonio Spurs|132|130|35|44|26|21|45.2|46.2
2019|2020-08-03|Utah Jazz|Los Angeles Lakers|108|116|42|38|25|23|27.9|34.6
2019|2020-08-02|Brooklyn Nets|Washington Wizards|118|110|48|46|23|26|33.3|29.0
2019|2020-08-02|Boston Celtics|Portland Trail Blazers|128|124|36|35|24|31|60.0|45.2
2019|2020-08-02|Memphis Grizzlies|San Antonio Spurs|106|108|39|49|27|22|23.3|41.4
2019|2020-08-02|Orlando Magic|Sacramento Kings|132|116|46|39|31|30|47.4|28.6
2019|2020-08-02|Houston Rockets|Milwaukee Bucks|120|116|36|65|22|21|34.4|25.7
2019|2020-08-02|Phoenix Suns|Dallas Mavericks|117|115|49|49|22|22|36.4|19.4
2019|2020-08-01|Denver Nuggets|Miami Heat|105|125|38|38|28|29|22.9|44.8
2019|2020-08-01|Oklahoma City Thunder|Utah Jazz|110|94|47|35|19|17|38.5|25.8
2019|2020-08-01|Los Angeles Clippers|New Orleans Pelicans|126|103|48|48|23|24|53.2|30.0
2019|2020-08-01|Indiana Pacers|Philadelphia 76ers|127|121|34|55|31|20|41.2|36.0
2019|2020-08-01|Toronto Raptors|Los Angeles Lakers|107|92|51|40|24|17|41.2|25.0
2019|2020-07-31|Brooklyn Nets|Orlando Magic|118|128|39|42|30|31|31.0|35.5
2019|2020-07-31|Portland Trail Blazers|Memphis Grizzlies|140|135|42|39|27|25|43.3|31.7
2019|2020-07-31|Washington Wizards|Phoenix Suns|112|125|36|37|18|29|36.4|34.4
2019|2020-07-31|Milwaukee Bucks|Boston Celtics|119|112|47|48|25|18|31.7|29.7
2019|2020-07-31|San Antonio Spurs|Sacramento Kings|129|120|42|42|32|22|44.0|31.6
2019|2020-07-31|Dallas Mavericks|Houston Rockets|149|153|55|43|30|26|42.9|39.6
2019|2020-07-30|New Orleans Pelicans|Utah Jazz|104|106|45|43|22|17|35.5|23.5
2019|2020-07-30|Los Angeles Lakers|Los Angeles Clippers|103|101|45|36|21|17|30.6|44.4
2019|2020-07-28|Miami Heat|Memphis Grizzlies|110|128|43|54|33|32|33.3|45.2
2019|2020-07-28|Phoenix Suns|Toronto Raptors|117|106|35|46|28|23|38.3|37.2
2019|2020-07-28|Indiana Pacers|San Antonio Spurs|111|118|49|48|23|29|41.7|25.9
2019|2020-07-28|Portland Trail Blazers|Oklahoma City Thunder|120|131|47|41|28|30|48.6|50.0
2019|2020-07-28|Houston Rockets|Boston Celtics|137|112|48|48|26|21|40.4|36.4
2019|2020-07-28|Philadelphia 76ers|Dallas Mavericks|115|118|67|56|25|22|29.7|29.3
2019|2020-07-27|Los Angeles Lakers|Washington Wizards|123|116|47|42|22|27|46.4|29.4
2019|2020-07-27|Los Angeles Clippers|Sacramento Kings|102|106|47|51|21|22|27.5|31.7
2019|2020-07-27|Brooklyn Nets|Utah Jazz|107|112|45|54|27|18|35.7|37.1
2019|2020-07-27|Denver Nuggets|Orlando Magic|110|114|46|42|26|30|42.9|48.6
2019|2020-07-27|Milwaukee Bucks|New Orleans Pelicans|103|124|51|39|18|22|26.3|36.2
2019|2020-07-26|Oklahoma City Thunder|Philadelphia 76ers|102|97|59|56|22|27|28.9|35.7
2019|2020-07-26|Boston Celtics|Phoenix Suns|117|103|48|50|21|23|39.4|26.3
2019|2020-07-26|Dallas Mavericks|Indiana Pacers|111|118|44|52|27|26|39.5|25.8
2019|2020-07-26|Toronto Raptors|Portland Trail Blazers|110|104|54|50|23|22|38.6|25.0
2019|2020-07-26|Memphis Grizzlies|Houston Rockets|104|119|51|48|21|25|24.2|43.1
2019|2020-07-25|Orlando Magic|Los Angeles Lakers|112|119|45|49|21|24|17.9|45.0
2019|2020-07-25|Sacramento Kings|Milwaukee Bucks|123|131|42|54|23|29|33.3|44.4
2019|2020-07-25|Utah Jazz|Miami Heat|101|99|47|42|25|28|35.0|25.6
2019|2020-07-25|San Antonio Spurs|Brooklyn Nets|119|124|57|45|21|27|42.3|31.8
2019|2020-07-25|Washington Wizards|Los Angeles Clippers|100|105|63|47|13|23|25.8|39.5
2019|2020-07-25|New Orleans Pelicans|Denver Nuggets|119|104|43|46|37|21|41.7|35.5
2019|2020-07-24|Philadelphia 76ers|Memphis Grizzlies|90|83|44|41|26|24|33.3|37.5
2019|2020-07-24|Boston Celtics|Oklahoma City Thunder|84|98|33|41|25|19|20.8|33.3
2019|2020-07-24|Toronto Raptors|Houston Rockets|94|83|43|38|25|18|29.4|29.2
2019|2020-07-23|Milwaukee Bucks|San Antonio Spurs|113|92|35|39|21|23|30.0|34.8
2019|2020-07-23|Indiana Pacers|Portland Trail Blazers|91|88|42|37|21|17|39.4|19.2
2019|2020-07-23|Los Angeles Lakers|Dallas Mavericks|104|108|38|37|18|21|27.3|36.8
2019|2020-07-23|Utah Jazz|Phoenix Suns|88|101|24|38|17|17|41.7|27.3
2019|2020-07-22|Los Angeles Clippers|Orlando Magic|99|90|43|42|21|21|39.0|17.9
2019|2020-07-22|Denver Nuggets|Washington Wizards|89|82|47|34|18|22|32.3|26.5
2019|2020-07-22|Brooklyn Nets|New Orleans Pelicans|68|99|34|39|14|24|25.0|40.6
2019|2020-07-22|Miami Heat|Sacramento Kings|104|98|34|27|22|26|31.8|39.3
2019|2020-03-11|Philadelphia 76ers|Detroit Pistons|124|106|50|32|28|25|42.4|31.4
2019|2020-03-11|Atlanta Hawks|New York Knicks|131|136|53|47|26|32|34.1|39.3
2019|2020-03-11|Miami Heat|Charlotte Hornets|98|109|36|50|32|20|34.1|50.0
2019|2020-03-11|Dallas Mavericks|Denver Nuggets|113|97|52|40|23|23|34.3|35.9
2019|2020-03-10|Indiana Pacers|Boston Celtics|111|114|43|46|23|19|37.5|35.1
2019|2020-03-10|Washington Wizards|New York Knicks|122|115|37|36|23|30|40.0|38.1
2019|2020-03-10|Chicago Bulls|Cleveland Cavaliers|108|103|46|35|23|29|35.3|25.0
2019|2020-03-10|Houston Rockets|Minnesota Timberwolves|117|111|33|41|24|21|39.5|40.0
2019|2020-03-10|Memphis Grizzlies|Orlando Magic|115|120|39|41|24|31|37.9|42.4
2019|2020-03-10|San Antonio Spurs|Dallas Mavericks|119|109|40|42|32|23|46.9|38.6
2019|2020-03-10|Portland Trail Blazers|Phoenix Suns|121|105|46|43|20|26|48.6|34.4
2019|2020-03-10|Golden State Warriors|Los Angeles Clippers|107|131|35|47|25|28|28.9|45.5
2019|2020-03-10|Los Angeles Lakers|Brooklyn Nets|102|104|46|47|24|24|37.5|32.5
2019|2020-03-09|Atlanta Hawks|Charlotte Hornets|143|138|53|35|33|31|48.8|39.6
2019|2020-03-09|Denver Nuggets|Milwaukee Bucks|109|95|48|48|28|23|39.0|30.0
2019|2020-03-09|Utah Jazz|Toronto Raptors|92|101|34|53|24|22|37.2|36.1
2019|2020-03-08|Brooklyn Nets|Chicago Bulls|110|107|50|31|21|23|36.7|35.3
2019|2020-03-08|Minnesota Timberwolves|New Orleans Pelicans|107|120|42|54|20|28|24.2|31.4
2019|2020-03-08|Los Angeles Clippers|Los Angeles Lakers|103|112|49|45|12|22|22.6|28.6
2019|2020-03-08|Boston Celtics|Oklahoma City Thunder|104|105|46|39|22|16|35.1|40.0
2019|2020-03-08|Phoenix Suns|Milwaukee Bucks|140|131|47|36|30|23|44.2|39.4
2019|2020-03-08|Washington Wizards|Miami Heat|89|100|29|46|19|21|40.4|46.4
2019|2020-03-08|Dallas Mavericks|Indiana Pacers|109|112|42|47|19|23|32.6|34.8
2019|2020-03-08|Houston Rockets|Orlando Magic|106|126|38|49|21|21|28.1|44.8
2019|2020-03-08|Cleveland Cavaliers|San Antonio Spurs|132|129|60|44|26|20|38.2|38.5
2019|2020-03-08|New York Knicks|Detroit Pistons|96|84|51|35|15|21|31.6|28.9
2019|2020-03-08|Sacramento Kings|Toronto Raptors|113|118|50|36|24|27|25.8|39.6
2019|2020-03-07|Charlotte Hornets|Houston Rockets|108|99|30|42|29|22|46.9|33.3
2019|2020-03-07|Detroit Pistons|Utah Jazz|105|111|38|40|24|17|30.0|30.3
